Dni_Aseg_Anonymized;Asegurado_Id_Anonymized;Poliza_Certificado_Id_Anonymized;Numero_Poliza_Anonymized;Placa_Vehiculo_Anonymized;Edad_Cliente;segmento_edad;Sexo_Cd;Estado_Civil_Desc;Ciudad_Cliente;Departamento_Cliente;Sector_Economico_Cliente;Rango_Ingresos_Cliente;Antiguedad_Cliente_En_CanalDD_Anios;Num_Total_Polizas_Cliente_CanalDD;Fecha_Inicio_Primera_Vigencia;Fecha_Fin_Efectiva_Poliza;Vigencia_Total_Poliza_Meses;Subproducto_Desc;Forma_Pago_Desc;Valor_Accesorios_Certificado;Ultima_Prima_Anualizada_Cert;Clase_Vehiculo_Tarifa;Marca_Vehiculo_Calculada;Linea_Vehiculo_Calculada;Modelo_Vehiculo;Gama_Alta_Calculada;Valor_Comercial_Vehiculo;Valor_Accesorios_Vehiculo_Sia;Valor_Accesorio_Especial_Veh;Ciudad_Ubicacion_Vehiculo;Departamento_Ubicacion_Vehiculo;Tipo_Servicio_Vehiculo_Desc;Prima_Total_Devengada_Certificado;Siniestros_Total_Incurridos_Certificado;Margen_Tecnico_Total_Certificado;Num_Total_Asistencias_Certificado;Costo_Total_Asistencias_Certificado;Margen_Bruto_Total_Certificado;Cliente_Tiene_Soat_Activo;Cliente_Tiene_Hogar_Activo;Cliente_Tiene_MasVida_Activo;Cliente_Tiene_Salud_Activo;Cliente_Tiene_Vida_Activo;Nombre_Agente_Anonymized
B3-E6-9C-2F;16-94-C4-65;EA-3E-A7-FA;4E-C5-C3-B4;5B-1C-8A-FB;32;Adulto Joven;M;Sin Informacion;BOGOTA D.C.;BOGOTA D.C.;Sin Información;Sin Informacion;1,29;1;24/01/2024;24/01/2026;24;PLAN MOTOS;Mensual;0;1.173.285,00;MOTO 125 - 250 CC ;SUZUKI;OTRAS;2.024;NO;15.000.000,00;0;0;BOGOTA D.C.;BOGOTA D.C.;Particular;1.515.983,37;0;1.515.983,37;0;0;1.515.983,37;0;0;0;0;0;1D-A0-23-D2
B1-F5-6D-ED;75-6E-14-4C;5A-3D-D1-DB;DF-C6-AC-0D;55-F8-D2-66;44;Adulto Joven;M;Sin Informacion;BOGOTA D.C.;BOGOTA D.C.;Sin Información;Sin Informacion;1,84;2;3/07/2023;3/04/2024;9;PLAN UTILITARIOS Y PESADOS CLASICO;Mensual;0;4.174.966,00;CAMION MEDIANO;JAC;OTRAS;2.022;SI;88.400.000,00;?;0;BARRANQUILLA;ATLANTICO;Publico especial;2.792.757,25;0;2.792.757,25;0;0;2.792.757,25;0;0;0;0;0;1D-A0-23-D2
D7-24-7D-BD;13-56-4A-87;B6-BB-0E-84;8D-23-D6-C8;D2-89-66-7C;-1;?;-1;Sin Informacion;BOGOTA D.C.;BOGOTA D.C.;CONSTRUCCION;Sin Informacion;1,51;1;2/11/2023;22/11/2023;0,65;PLAN AUTO GLOBAL;Mensual;0;4.189.689,00;AUTOMOVILES;CHEVROLET;SAIL;2.018;NO;36.700.000,00;0;0;BOGOTA D.C.;BOGOTA D.C.;Particular;192.915,00;0;192.915,00;0;0;192.915,00;0;0;0;0;0;1D-A0-23-D2
4B-9F-35-F5;2A-4F-7A-A2;11-90-A7-69;65-67-ED-3D;38-3A-8F-DC;26;Joven;F;SOLTERO(A);CALI;VALLE DEL CAUCA;AGRICULTURA, GANADERIA, CAZA Y ACTIVIDADES DE SERVICIOS CONEXAS;1 - 1'200.000;1,1;1;1/04/2024;1/04/2026;24;PLAN MOTOS;Mensual;0;1.301.990,00;MOTO 125 - 250 CC ;YAMAHA;GPD150ANMAX;2.020;NO;13.100.000,00;0;0;BELLO;ANTIOQUIA;Particular;1.364.309,40;0;1.364.309,40;0;0;1.364.309,40;0;0;0;0;0;1D-A0-23-D2
CC-39-97-CF;FA-7A-CB-42;46-AA-78-F0;67-5D-77-BE;A9-22-E2-96;23;Joven;M;Sin Informacion;MEDELLIN;ANTIOQUIA;Sin Información;Sin Informacion;1,59;1;3/10/2023;3/10/2025;24;PLAN MOTOS;Mensual;0;1.329.184,00;MOTO 125 - 250 CC ;VICTORY;OTRAS;2.023;NO;14.000.000,00;?;0;MEDELLIN;ANTIOQUIA;Particular;1.940.297,55;0;1.940.297,55;2;64.154,00;1.876.143,55;0;0;0;0;1;1D-A0-23-D2
E9-50-91-19;B2-74-74-28;84-C5-EF-93;9E-53-BF-D3;90-2D-AB-B3;39;Adulto Joven;M;Sin Informacion;BOGOTA D.C.;BOGOTA D.C.;Sin Información;Sin Informacion;1,26;1;3/02/2024;3/02/2026;24;PLAN AUTO CLASICO;Anual;217.396,00;1.832.070,00;CAMPEROS Y PICK-UP;MAZDA;CX;2.017;NO;88.000.000,00;230.000,00;0;BOGOTA D.C.;BOGOTA D.C.;Particular;4.264.860,95;0;4.264.860,95;0;0;4.264.860,95;0;0;0;0;1;1D-A0-23-D2
26-6A-F2-0D;2A-B8-05-C2;5E-BC-E5-39;26-F3-6D-74;69-A5-0D-D6;27;Joven;M;Sin Informacion;BOGOTA D.C.;BOGOTA D.C.;INFORMATICA Y ACTIVIDADES CONEXAS;Sin Informacion;1,91;1;10/06/2023;10/08/2023;2;PLAN AUTO CLASICO;Mensual;0;1.109.130,00;AUTOMOVILES;CHEVROLET;SAIL;2.016;NO;34.600.000,00;0;0;BOGOTA D.C.;BOGOTA D.C.;Particular;155.770,00;0;155.770,00;0;0;155.770,00;0;0;0;1;1;1D-A0-23-D2
E8-E9-BC-8E;BC-C6-8F-C7;04-9D-A2-48;93-88-02-67;F2-A7-91-8D;62;Adulto;F;CASADO(A);BUCARAMANGA;SANTANDER;"CURTIDO Y PREPARADO DE CUEROS; FABRICACION DE CALZADO; FABRICACION DE ARTICULOS DE VIAJE, MALETAS, BOLSOS DE MANO Y SIMILARES; ARTICULOS DE TALABARTERIA Y GUARNICIONERIA";Sin Informacion;0,35;1;30/12/2024;30/12/2025;12;PLAN AUTO GLOBAL;Mensual;230.000,00;3.121.610,00;CAMPEROS Y PICK-UP;HYUNDAI;TUCSON;2.016;NO;63.900.000,00;230.000,00;0;BUCARAMANGA;SANTANDER;Particular;998.153,96;0;998.153,96;0;0;998.153,96;0;0;0;0;0;1D-A0-23-D2
60-5E-63-F2;D2-CB-E1-B4;BD-80-96-19;4B-31-B7-22;93-64-28-76;38;Adulto Joven;M;UNION LIBRE;MEDELLIN;ANTIOQUIA;Sin Información;Sin Informacion;1,39;1;18/12/2023;18/06/2024;6;PLAN AUTO BASICO;Mensual;0;1.207.837,00;AUTOMOVILES;KIA;CERATO;2.012;NO;44.000.000,00;0;0;MEDELLIN;ANTIOQUIA;Particular;506.105,03;0;506.105,03;1;28.280,00;477.825,03;0;0;0;0;0;1D-A0-23-D2
DE-20-7B-54;F9-DF-38-6F;47-6C-55-66;87-94-B9-70;84-BC-CA-36;22;Joven;F;SOLTERO(A);SABANETA;ANTIOQUIA;INFORMATICA Y ACTIVIDADES CONEXAS;Sin Informacion;0,91;1;8/06/2024;8/02/2025;8;PLAN MOTOS;Mensual;0;1.623.743,00;MOTO 125 - 250 CC ;YAMAHA;GPD150NMAX;2.019;NO;12.100.000,00;0;0;MEDELLIN;ANTIOQUIA;Particular;915.891,21;0;915.891,21;1;72.305,00;843.586,21;1;0;0;0;0;1D-A0-23-D2
